County / unitary (as of April 2021),CTYUA20CD,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Stoke-on-Trent,E06000021,"249,409","248,882","248,510","249,472","249,265","248,976","247,360","245,298","244,130","241,989","240,422","239,955","240,031","241,078","241,481","243,069","243,697","245,509","245,869","247,381","248,719","249,792","250,194","250,956","251,746","253,659","255,378","255,833","256,375"
Telford and Wrekin,E06000020,"141,294","142,245","143,247","144,437","146,143","146,253","149,670","152,900","153,730","155,846","158,573","159,401","159,848","160,603","161,535","162,710","163,368","164,089","164,889","165,641","166,831","167,811","168,642","169,768","171,677","173,727","175,768","177,799","179,854"
Staffordshire,E10000028,"791,588","793,546","795,054","795,412","796,896","795,688","801,134","803,728","803,660","804,497","807,152","810,199","815,228","818,563","822,713","827,321","833,122","838,142","841,270","845,272","849,546","852,039","856,837","859,870","862,166","866,430","870,825","875,219","879,560"
Warwickshire,E10000031,"487,116","489,272","490,409","492,338","493,824","494,719","496,786","499,075","499,565","501,190","506,193","510,691","515,056","518,637","523,653","529,059","534,381","539,384","542,131","544,166","546,554","548,320","549,517","552,450","555,154","558,991","564,562","571,010","577,933"
Birmingham,E08000025,"1,004,502","1,004,259","1,005,419","1,000,140","999,108","1,001,087","993,650","991,380","989,712","985,119","984,642","990,384","996,356","1,002,376","1,014,650","1,020,843","1,029,021","1,038,980","1,050,072","1,061,074","1,074,283","1,085,198","1,092,190","1,101,521","1,112,950","1,128,077","1,137,123","1,141,374","1,141,816"
Coventry,E08000026,"303,871","302,938","302,585","301,695","303,096","306,426","304,736","305,005","304,840","303,066","302,804","301,295","300,665","298,174","298,386","300,129","301,429","305,186","307,393","311,674","316,915","322,504","328,423","335,018","344,288","353,215","360,149","366,785","371,521"
Dudley,E08000027,"307,669","308,609","308,431","308,164","307,630","306,579","305,220","304,812","304,878","304,664","305,052","305,645","305,585","306,171","307,004","307,846","308,686","310,377","311,088","312,206","313,261","313,570","314,357","315,653","316,331","317,558","319,419","320,626","321,596"
Sandwell,E08000028,"292,586","291,691","291,614","291,010","290,700","288,927","287,666","287,133","286,085","285,102","284,594","285,637","287,135","288,849","290,447","292,516","294,603","298,358","302,303","306,181","309,042","311,245","313,980","316,289","319,101","322,631","325,460","327,378","328,450"
Solihull,E08000029,"200,432","199,529","198,515","199,367","199,688","200,093","200,708","200,736","200,190","199,013","199,574","200,028","200,536","201,153","201,557","202,351","203,170","204,778","205,470","206,329","206,856","207,450","209,140","210,227","210,834","212,166","213,933","214,909","216,374"
Walsall,E08000030,"261,267","260,688","261,378","260,245","258,462","257,712","256,631","255,540","255,808","254,899","253,333","254,287","255,352","256,702","258,172","259,454","260,939","263,034","264,774","266,834","269,524","270,844","271,955","273,933","275,880","278,887","281,293","283,378","285,478"
Wolverhampton,E08000031,"248,466","247,902","247,285","245,186","244,900","245,162","242,856","242,015","240,691","239,537","238,016","239,088","239,851","240,567","241,647","242,889","243,910","245,349","246,016","247,640","249,852","251,076","251,708","253,250","255,106","258,017","259,926","262,008","263,357"
Worcestershire,E10000034,"512,353","516,426","520,125","523,975","526,743","528,836","532,702","535,342","537,379","539,613","542,233","544,474","547,271","548,660","551,332","554,700","558,035","560,790","562,296","564,080","566,557","569,301","572,613","575,993","579,050","583,491","588,370","592,057","595,786"
Bedford,E06000055,"135,443","136,858","136,991","137,006","137,231","138,023","139,990","141,556","143,765","146,146","148,113","149,589","150,684","151,308","151,747","152,346","153,107","154,164","154,808","156,535","157,840","159,369","161,553","163,999","166,376","168,814","169,912","171,623","173,292"
Central Bedfordshire,E06000056,"220,504","221,311","221,196","222,301","223,742","225,607","226,525","227,371","230,636","232,004","234,006","236,297","238,547","240,444","242,062","244,351","246,803","249,035","250,329","252,460","255,644","259,591","263,793","267,846","272,421","276,731","280,030","283,606","288,648"
Luton,E06000032,"173,655","175,851","178,636","180,820","181,387","181,577","182,158","184,264","184,990","185,491","185,889","185,631","185,016","183,563","185,392","187,312","189,742","192,084","195,449","199,583","203,641","205,498","207,404","210,173","213,581","215,914","214,658","214,109","213,052"
Peterborough,E06000031,"154,181","155,438","155,664","158,024","158,741","158,128","156,407","155,877","156,520","156,616","157,439","158,794","160,778","163,485","167,220","169,887","172,443","176,027","178,963","181,762","184,457","186,596","188,371","190,493","193,657","196,735","198,914","201,041","202,259"
Southend-on-Sea,E06000033,"161,204","162,428","163,487","164,386","163,928","163,340","165,092","163,820","162,915","161,585","160,362","161,159","161,437","161,488","162,645","163,776","165,429","168,150","170,013","172,122","174,274","175,091","176,236","178,367","179,234","180,606","181,808","182,463","183,125"
Thurrock,E06000034,"128,672","130,902","131,647","132,480","133,351","134,678","135,329","138,698","139,469","141,513","143,297","144,728","145,977","147,056","148,556","150,206","151,741","153,633","155,003","156,585","158,268","159,837","161,305","163,822","166,040","168,428","170,394","172,525","174,341"
Cambridgeshire,E10000003,"510,586","516,185","519,017","518,694","522,685","530,401","538,927","544,946","547,582","551,368","554,704","558,916","568,743","574,445","583,651","588,890","594,338","600,808","606,238","614,899","622,312","625,908","628,918","635,186","641,524","644,575","648,237","651,482","653,537"
Essex,E10000012,"1,249,099","1,253,611","1,255,495","1,261,587","1,267,652","1,273,322","1,278,254","1,284,198","1,295,043","1,304,417","1,312,599","1,319,145","1,326,079","1,334,632","1,345,170","1,354,301","1,362,888","1,373,172","1,379,503","1,388,913","1,396,599","1,407,084","1,417,596","1,433,282","1,445,323","1,457,910","1,468,177","1,477,764","1,489,189"
Hertfordshire,E10000015,"984,323","988,863","991,088","995,417","999,787","1,002,650","1,009,700","1,016,401","1,024,006","1,029,817","1,035,523","1,040,387","1,045,337","1,047,366","1,055,483","1,063,202","1,072,954","1,085,434","1,096,599","1,107,641","1,119,824","1,129,291","1,140,618","1,154,195","1,165,332","1,176,386","1,180,934","1,184,365","1,189,519"
Norfolk,E10000020,"754,319","757,659","759,523","762,389","765,596","769,295","774,473","780,863","786,454","793,509","798,618","803,463","810,127","815,690","822,890","829,062","834,945","841,495","846,355","852,926","859,426","864,847","870,296","877,388","884,748","891,731","898,390","903,680","907,760"
Suffolk,E10000029,"649,066","643,483","641,625","644,811","651,600","655,739","660,060","664,034","667,342","672,506","669,913","674,579","681,408","689,087","697,837","702,961","709,144","714,348","718,183","723,976","730,133","732,802","735,844","742,499","747,734","751,175","756,978","758,556","761,350"
Camden,E09000007,"180,708","179,118","179,270","180,027","182,454","186,251","186,183","183,911","190,003","196,174","202,567","203,972","204,254","207,341","211,088","211,032","211,520","210,273","212,924","214,725","220,087","224,809","230,486","236,022","243,837","249,162","253,361","262,226","270,029"
City of London,E09000001,"5,361","5,167","5,309","5,425","5,489","5,551","5,670","5,720","6,581","7,014","7,359","7,280","7,115","7,118","7,131","7,254","7,607","7,429","7,472","7,338","7,412","6,612","6,031","6,139","6,687","7,246","7,654","8,706","9,721"
Hackney,E09000012,"184,956","186,816","188,193","190,266","192,858","193,068","191,448","194,706","199,087","203,381","207,246","210,961","212,405","213,581","216,512","220,193","224,480","231,041","236,622","241,739","247,182","252,212","257,436","263,112","268,626","273,239","275,929","279,665","281,120"
Hammersmith and Fulham,E09000013,"153,794","153,282","152,504","153,762","153,482","154,951","155,105","155,458","160,634","164,393","169,374","171,989","171,510","172,083","173,292","174,675","176,472","177,088","180,116","180,842","182,445","182,117","181,421","181,679","182,183","181,783","182,998","185,426","185,143"
Haringey,E09000014,"207,034","205,769","206,461","207,447","208,881","211,578","215,081","216,582","218,559","219,845","221,251","224,474","225,027","226,472","229,271","233,174","236,793","244,459","249,805","252,742","255,540","257,898","261,033","264,398","268,251","272,078","271,224","270,624","268,647"
Islington,E09000019,"171,754","172,658","172,914","173,368","173,016","174,651","175,665","177,949","175,717","177,852","179,387","180,118","180,899","180,831","183,477","185,283","188,636","192,089","196,704","200,129","206,285","211,273","215,855","221,405","227,507","232,055","235,000","239,142","242,467"
Kensington and Chelsea,E09000020,"143,626","142,237","141,532","139,997","140,603","141,099","142,096","143,140","147,678","154,661","162,199","163,827","165,268","165,752","168,375","165,245","162,883","162,579","161,893","160,463","158,251","156,912","157,141","157,830","158,589","156,773","155,741","156,197","156,129"
Lambeth,E09000022,"254,990","255,614","254,615","256,622","257,197","259,743","259,854","263,843","266,817","270,028","273,372","273,041","272,195","274,262","277,620","280,524","284,964","289,126","294,050","297,650","304,481","309,366","312,700","316,637","320,736","323,063","324,048","325,917","326,034"
Lewisham,E09000023,"240,233","239,738","240,409","241,983","240,428","243,090","243,946","247,223","250,310","252,106","254,336","253,662","251,936","252,455","254,930","257,976","261,188","266,508","270,418","272,525","276,938","280,705","284,956","290,284","294,999","298,903","301,307","303,536","305,842"
Newham,E09000025,"216,251","219,204","222,283","224,919","227,993","229,900","231,032","235,001","240,517","245,463","249,411","255,282","256,224","254,434","253,798","257,994","266,285","276,478","286,447","299,171","310,460","316,295","321,465","328,066","336,254","344,533","347,996","352,005","353,134"
Southwark,E09000028,"227,246","228,414","231,361","231,606","236,885","236,620","238,968","242,150","247,853","252,726","256,712","256,269","255,242","257,257","261,811","267,553","272,626","276,973","281,120","283,777","288,717","293,440","298,663","302,818","308,434","311,655","314,232","317,256","318,830"
Tower Hamlets,E09000030,"166,326","167,265","169,046","171,533","175,209","180,292","184,845","187,909","193,507","197,133","201,090","207,031","208,651","211,154","213,382","218,400","225,251","231,893","240,495","248,520","256,012","263,624","273,616","284,596","293,828","300,943","307,964","317,705","324,745"
Wandsworth,E09000032,"261,976","261,817","260,918","261,324","259,903","261,066","260,633","260,965","264,220","267,695","271,742","274,917","276,828","278,615","283,229","287,538","291,440","294,305","299,347","302,620","307,710","309,497","313,091","316,536","319,477","321,497","323,257","326,474","329,677"
Westminster,E09000033,"185,032","180,974","176,879","174,076","174,220","178,498","181,841","184,652","189,233","196,478","203,329","208,100","211,009","214,557","223,132","222,829","220,619","218,673","216,980","217,187","219,582","223,737","225,306","229,899","238,047","241,974","244,796","255,324","261,317"
Barking and Dagenham,E09000002,"155,487","156,175","156,191","156,757","157,396","157,264","158,302","160,976","162,444","163,893","165,654","166,357","166,210","165,610","166,275","167,157","169,031","172,452","177,580","182,838","187,029","190,663","194,576","198,650","203,101","208,182","210,711","211,998","212,906"
Barnet,E09000003,"297,676","296,900","296,553","297,330","298,968","302,952","304,634","308,345","313,469","315,784","319,481","320,552","321,802","323,723","327,541","330,801","334,837","339,212","345,829","351,438","357,538","363,777","368,301","373,745","378,778","384,774","387,803","392,140","395,869"
Bexley,E09000004,"218,075","218,089","218,315","218,591","218,543","217,689","215,722","216,318","217,458","218,717","218,757","219,123","220,016","220,917","222,391","223,280","224,625","226,652","228,146","230,711","232,774","234,308","236,816","240,016","242,387","245,095","246,124","247,258","248,287"
Brent,E09000005,"240,813","240,284","241,689","245,704","248,359","251,967","255,298","259,908","260,317","264,945","269,620","269,871","268,323","268,335","270,939","276,504","283,273","290,901","298,118","304,785","312,245","314,593","317,112","320,101","323,443","326,427","329,102","330,795","329,771"
Bromley,E09000006,"293,491","291,936","289,908","289,977","290,022","291,728","293,106","291,697","294,902","295,317","296,218","296,668","297,253","297,307","299,421","300,963","302,625","304,968","306,924","308,560","310,554","314,039","318,167","321,602","325,303","327,580","329,391","331,096","332,336"
