,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,27,E06000027,Torbay,,289730,64613,-3.55523,50.47092,64585349.2308092,56146.1355861174,POINT (289777.3367176526 61324.97630219017),Torbay,121953.0,121518.0,121510.0,123673.0,124927.0,124737.0,124524.0,124926.0,126311.0,128475.0,129965,130521,131238,131937,132178,131857,132172,132070,131641,131443,131193,131480,132201,133264,133791,134406,135247,135780,136264
27,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,28,E06000030,Swindon,,418551,186564,-1.73367,51.57763,227720526.640511,83649.2541969909,POINT (417811.5166009918 185834.6896583057),Swindon,171504.0,172079.0,172152.0,171772.0,171949.0,172692.0,175179.0,177804.0,179329.0,179613.0,180129,182110,184368,186390,189684,192345,196942,201521,204371,206939,209709,211918,214028,215991,217584,218580,220363,221996,222193
28,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,29,E06000031,Peterborough,,517372,300777,-0.26874,52.59214,341526539.430695,97208.3826482827,POINT (518335.7385273334 302624.7967812762),Peterborough,154181.0,155438.0,155664.0,158024.0,158741.0,158128.0,156407.0,155877.0,156520.0,156616.0,157439,158794,160778,163485,167220,169887,172443,176027,178963,181762,184457,186596,188371,190493,193657,196735,198914,201041,202259
29,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,30,E06000032,Luton,,508606,222559,-0.42319,51.89102,44068117.7992706,30772.5559397546,POINT (508429.1850538976 222939.4829262914),Luton,173655.0,175851.0,178636.0,180820.0,181387.0,181577.0,182158.0,184264.0,184990.0,185491.0,185889,185631,185016,183563,185392,187312,189742,192084,195449,199583,203641,205498,207404,210173,213581,215914,214658,214109,213052
30,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,31,E06000033,Southend-on-Sea,,587777,186837,0.706923,51.54917,44205147.5177689,33131.3544512127,POINT (588192.6883575377 186776.2439478173),Southend-on-Sea,161204.0,162428.0,163487.0,164386.0,163928.0,163340.0,165092.0,163820.0,162915.0,161585.0,160362,161159,161437,161488,162645,163776,165429,168150,170013,172122,174274,175091,176236,178367,179234,180606,181808,182463,183125
31,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,32,E06000034,Thurrock,,562123,181590,0.334861,51.50998,162739408.424057,68731.0048286447,POINT (564418.2454817938 181549.187214666),Thurrock,128672.0,130902.0,131647.0,132480.0,133351.0,134678.0,135329.0,138698.0,139469.0,141513.0,143297,144728,145977,147056,148556,150206,151741,153633,155003,156585,158268,159837,161305,163822,166040,168428,170394,172525,174341
33,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,34,E06000036,Bracknell Forest,,488169,168792,-0.73363,51.4113,108233672.335564,57917.0191370737,POINT (487791.8790882255 168448.7079982055),Bracknell Forest,98063.0,99450.0,100936.0,103532.0,106369.0,108610.0,108970.0,108951.0,109819.0,109680.0,109650,109490,109475,109189,109487,109896,110702,111455,111916,112893,113696,115089,116543,117997,119205,119730,120377,121676,122549
34,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,35,E06000037,West Berkshire,,450575,172095,-1.27364,51.44559,701217777.186142,143114.430665937,POINT (448484.3523332768 172496.6565180937),West Berkshire,138764.0,139316.0,140444.0,141024.0,142052.0,143113.0,143609.0,143671.0,144129.0,144201.0,144494,143913,144297,145147,146492,148107,150056,152024,153039,153943,154148,154704,156031,156633,157460,158576,158473,158527,158450
35,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,36,E06000038,Reading,,470226,173154,-0.99071,51.45302,41326311.0230942,30503.9475666732,POINT (470647.1525123022 173174.6282684671),Reading,134827.0,135342.0,135479.0,135794.0,138421.0,139491.0,142185.0,144129.0,143512.0,143912.0,144684,143915,144070,144590,146940,148321,149678,151460,152326,154296,155339,156795,158621,160268,161701,162701,163075,163203,161780
36,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,37,E06000039,Slough,,498920,179246,-0.57617,51.5035,32201925.6620255,37004.5367813503,POINT (498217.1158471552 179690.3369165445),Slough,105377.0,106920.0,108779.0,110986.0,112921.0,114882.0,116499.0,117980.0,118497.0,119694.0,120577,120927,120869,120833,122874,125200,127991,131453,134742,137800,140713,141820,142672,144340,146038,147736,148768,149112,149539
